Team,Spiel,Nachname,Vorname,Punkte,FWVersuche,FWTreffer,2er,3er,Fouls
 SG Schorndorf, 39,Gerstenhauer,Timo,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 39,Hergül,Koray,4.0,2.0,2.0,1.0,0.0,4.0
 SG Schorndorf, 39,Komlenic,Dusan,5.0,0.0,0.0,1.0,1.0,5.0
 SG Schorndorf, 39,Komlenic,Krstan,15.0,6.0,1.0,4.0,2.0,3.0
 SG Schorndorf, 39,Segrt,Milan,18.0,7.0,2.0,5.0,2.0,5.0
 SG Schorndorf, 39,Ul Haq,Muhammad Ali,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 39,Weber,Ben,5.0,3.0,1.0,2.0,0.0,3.0
 TSV Schmiden 2, 39,Bergert,Sven,7.0,1.0,0.0,2.0,1.0,2.0
 TSV Schmiden 2, 39,Dorst,Oliver,3.0,0.0,0.0,0.0,1.0,3.0
 TSV Schmiden 2, 39,Eckenfelder,Felix,5.0,1.0,1.0,2.0,0.0,1.0
 TSV Schmiden 2, 39,Gühring,Valentino,8.0,5.0,2.0,3.0,0.0,3.0
 TSV Schmiden 2, 39,****,***,1.0,2.0,1.0,0.0,0.0,3.0
 TSV Schmiden 2, 39,Klein,Kelvin,3.0,2.0,1.0,1.0,0.0,5.0
 TSV Schmiden 2, 39,Kunduklija,Almir,4.0,4.0,0.0,2.0,0.0,1.0
 TSV Schmiden 2, 39,Peiker,Marvin,2.0,2.0,0.0,1.0,0.0,0.0
 TSV Schmiden 2, 39,Sörös,Martin,12.0,4.0,1.0,4.0,1.0,4.0
 TSV Schmiden 2, 39,Wente,Eric,0.0,0.0,0.0,0.0,0.0,0.0
 TSV Essingen, 88,Demirtas,Luca,6.0,0.0,0.0,0.0,2.0,3.0
 TSV Essingen, 88,Jaros,Samuel,19.0,6.0,5.0,4.0,2.0,1.0
 TSV Essingen, 88,Müller,Peter,0.0,0.0,0.0,0.0,0.0,0.0
 TSV Essingen, 88,Penz,Julian,12.0,0.0,0.0,6.0,0.0,3.0
 TSV Essingen, 88,Seyum,Alexander,7.0,2.0,1.0,3.0,0.0,3.0
 TSV Essingen, 88,Walter,Martin,3.0,4.0,3.0,0.0,0.0,0.0
 TSV Essingen, 88,****,***,12.0,2.0,1.0,1.0,3.0,0.0
 TSV Essingen, 88,Zimmermann,Manfred,5.0,6.0,3.0,1.0,0.0,1.0
 TSV Schmiden 2, 88,Dorst,Oliver,8.0,0.0,0.0,1.0,2.0,3.0
 TSV Schmiden 2, 88,Gühring,Valentino,11.0,1.0,0.0,1.0,3.0,5.0
 TSV Schmiden 2, 88,Jankovic,Marvin,0.0,0.0,0.0,0.0,0.0,0.0
 TSV Schmiden 2, 88,Kunduklija,Almir,6.0,2.0,2.0,2.0,0.0,2.0
 TSV Schmiden 2, 88,Peiker,Marvin,6.0,0.0,0.0,3.0,0.0,1.0
 TSV Schmiden 2, 88,Sörös,Martin,13.0,2.0,1.0,0.0,4.0,3.0
 TSV Schmiden 2, 88,Weidner,Lorenz,13.0,6.0,3.0,5.0,0.0,2.0
 TSV Schmiden 2, 88,Wente,Eric,0.0,0.0,0.0,0.0,0.0,2.0
 TSV Essingen, 66,Albanus,Julius,8.0,6.0,2.0,3.0,0.0,2.0
 TSV Essingen, 66,Demirtas,Luca,8.0,2.0,2.0,3.0,0.0,4.0
 TSV Essingen, 66,Henne,Stefan,7.0,3.0,1.0,3.0,0.0,2.0
