"Rang","Nachname","Vorname","Mannschaft","Punkte","Spiele","Schnitt"
"91.","Schulz","Wilhelm","SpVgg Möhringen 2","30","8","3.8"
"92.","Henne","Stefan","TSV Essingen","29","5","5.8"
"93.","Eckenfelder","Felix","TSV Schmiden 2","29","6","4.8"
"94.","Weidner","Lorenz","TSV Schmiden 2","27","3","9.0"
"95.","Schwenk","Marvin","TSB Schwäbisch Gmünd 2","26","15","1.7"
"96.","Heilig","Jonas","TSB Schwäbisch Gmünd 2","25","11","2.3"
"97.","Lehmann","Oliver","TSB Schwäbisch Gmünd 2","25","13","1.9"
"98.","Lucas","Simon","TSV Schmiden 2","24","9","2.7"
"99.","Wrachtrup","Maximilian","SpVgg Möhringen 2","24","9","2.7"
"100.","Mystiroudis","Thrasyvoulos","Aalener Sportallianz","24","13","1.8"
"101.","Busch","Mark","TSB Schwäbisch Gmünd 2","23","1","23.0"
"102.","****","***","Aalener Sportallianz","23","3","7.7"
"103.","****","***","Sportvg Feuerbach 3","23","6","3.8"
"104.","Alber","Christoph","TSV Schmiden 2","22","5","4.4"
"105.","Mesic","Khiyan","Sportvg Feuerbach 3","20","4","5.0"
"106.","Cvijetic","Andrej-Danis","Sportvg Feuerbach 3","20","7","2.9"
"107.","Kotromanovic","Marko","Sportvg Feuerbach 3","19","6","3.2"
"108.","Mehajer","Zoulfikar","TSV Essingen","19","7","2.7"
"109.","Kuti","Goran","Tb Ruit Deers","19","9","2.1"
"110.","Ihli","Jermaine","TSB Schwäbisch Gmünd 2","18","4","4.5"
"111.","Pekka","Emeric","Aalener Sportallianz","18","10","1.8"
"112.","Dietz","Max","SpVgg Möhringen 2","17","5","3.4"
"113.","Pohlers","Michael","ASV Aichwald","15","3","5.0"
"114.","Bulkurcu","Ertunc","ASV Aichwald","14","5","2.8"
"115.","Knoblauch","Florian","Aalener Sportallianz","14","5","2.8"
"116.","Quoc Anh","Vu","Aalener Sportallianz","14","9","1.6"
"117.","****","***","SpVgg Möhringen 2","13","4","3.2"
"118.","Jaric","Sebastian","TSV Schmiden 2","13","4","3.2"
"119.","Spoida","Victor","Aalener Sportallianz","13","4","3.2"
"120.","Schlottke","Jan","SpVgg Möhringen 2","13","6","2.2"
"121.","Toskas","Ioannis","Tb Ruit Deers","12","2","6.0"
