Rang (2019);Name;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Fläche in km² (2016);Ew./km² (2018);Großstadt erstmals;Bundesland
51;Darmstadt;110552;94788;138736;141847;138201;138920;138242;144402;159207;159878;122,09;1304;1937;Hessen
52;Solingen;140453;147845;170619;177124;166085;165401;164973;159927;159360;159245;89,54;1780;1929;Nordrhein-Westfalen
53;Herne;94639;111591;113252;103849;182542;178132;174529;164762;156374;156449;51,42;3041;1933;Nordrhein-Westfalen
54;Neuss;59649;63478;93680;116013;149334;147019;150013;151388;153796;153896;99,52;1545;1963;Nordrhein-Westfalen
55;Regensburg;90651;117291;123751;130888;132604;121691;125676;135520;152610;153094;80,7;1891;1940;Bayern
56;Paderborn;39955;40270;52773;68207;110155;120680;139084;146283;150580;151633;179,59;838;1975;Nordrhein-Westfalen
57;Ingolstadt;31370;40523;52540;70594;90490;105489;115722;125088;136981;137392;133,37;1027;1989;Bayern
58;Offenbach am Main;85128;89030;115051;118841;110993;114992;117535;120435;128744;130280;44,89;2868;1954;Hessen
59;Fürth;78838;99890;98615;94415;99088;103362;110477;114628;127748;128497;63,35;2017;1950;Bayern
60;Würzburg;101345;78443;115541;116395;128652;127777;127966;133799;127880;127934;87,63;1459;1932;Bayern
61;Ulm;68585;71132;90383;93158;100671;110529;117233;122801;126329;126790;118,69;1064;1980;Baden-Württemberg
62;Heilbronn;74214;64643;87203;102300;111938;115843;119305;122879;125960;126592;99,88;1261;1970;Baden-Württemberg
63;Pforzheim;78320;54143;81373;91104;106500;112944;117156;119781;125542;125957;98;1281;1975;Baden-Württemberg
64;Wolfsburg;6797;25422;62577;90115;125935;128510;121805;121451;124151;124371;204,09;608;1972;Niedersachsen
65;Göttingen;49668;78680;77785;109892;129656;121831;124132;121060;119801;118911;116,89;1025;1964;Niedersachsen
66;Bottrop;83381;93268;111246;106225;114571;118936;120611;116771;117383;117565;100,61;1167;1953;Nordrhein-Westfalen
67;Reutlingen;37421;45735;66659;79705;95456;103687;110650;112484;115966;115865;87,06;1332;1988;Baden-Württemberg
68;Koblenz;86501;66444;97867;120079;113676;108733;107950;106417;114024;114052;105,13;1085;1962;Rheinland-Pfalz
69;Bremer­haven;110982;114070;141017;142919;138728;130446;120822;113366;113634;113643;93,82;1211;1939;Bremen
70;Erlangen;33471;50011;68569;85061;101845;102440;100778;105629;111962;112528;76,95;1455;1974;Bayern
71;Bergisch Gladbach;23286;32681;41409;50228;101472;104037;105693;105723;111966;111846;83,09;1348;1977;Nordrhein-Westfalen
72;Trier;81808;75526;85210;103598;95536;97835;99410;105260;110636;111528;117,13;945;1969;Rheinland-Pfalz
73;Recklinghausen;86302;104791;130405;125369;119418;125060;124785;118365;112267;111397;66,5;1688;1949;Nordrhein-Westfalen
74;Jena;68377;80309;81190;88130;103718;102518;99893;105129;111407;111343;114,76;971;1975;Thüringen
75;Remscheid;103912;103276;125912;136822;129082;123155;119287;110563;110994;111338;74,52;1489;1929;Nordrhein-Westfalen
76;Salzgitter;45598;100667;108872;119031;113600;114355;112302;102394;104948;104291;223,92;469;1942;Niedersachsen
77;Moers;29646;34832;45908;53410;99923;104595;107062;105506;103725;103902;67,68;1533;1975;Nordrhein-Westfalen
78;Siegen;37622;38787;48210;57563;112320;109174;108476;103424;102836;102770;114,69;897;1975;Nordrhein-Westfalen
79;Hildesheim;68679;72292;94352;93373;102619;105291;103909;102794;101990;101693;92,18;1106;1974;Niedersachsen
80;Gütersloh;32841;43111;52346;75297;78221;86807;95156;96404;100194;100861;112,02;894;2018;Nordrhein-Westfalen
81;Kaiserslautern;65890;62761;88668;100696;98745;99351;99825;99184;99845;100030;139,74;715;1970;Rheinland-Pfalz
